"Location","Name"
"800e7638","elog_800e7638"
"800e7644","elog_set_fmt"
"800e7a08","elog_output"
"800f2574","Curl_failf"
"800f3c98","Curl_printable_address("
"800f41f8","Curl_resolv_unlock"
"800f4d90","Curl_SOCKS4"
"801024b4","Curl_inet_ntop"
"8010b428","dosfs_mount"
"8010b50c","update_fsinfo"
"8010b67c","dosfs_unmount"
"80111434","unpack"
"80111660","establish_params"
"801117d0","create_bpb"
"80111bb8","create_fat32_fsinfo"
"80111c94","create_fat"
"80111e04","create_root_dirent"
"80111f24","mkdosfs"
"80112058","sdio_hdd_init"
"80112414","sdio_hdd_open"
"8011241c","sdio_hdd_free_cookie"
"80112424","sdio_hdd_close"
"8011242c","sdio_hdd_ioctl"
"8011250c","sdio_hdd_read"
"801127d0","sdio_hdd_write"
"80113058","writev"
"80113188","writev_pos"
"80113428","cache_ent_cmp"
"801134b4","flush_block_list"
"80114c10","flush_device"
"80115520","put_fd"
"801155f0","close_fd"
"80115648","disconnect_fd"
"8011565c","inc_fd_ref_count"
"8011567c","get_fd"
"80115714","remove_fd"
"801157b8","fd_vnode"
"801157e0","common_close"
"80115830","fs_mount"
"801158f0","fs_unmount"
"80115988","fs_sync"
"80115a10","fs_statvfs"
"80115ab0","fs_open"
"80115b80","fs_opendir"
"80115c0c","fs_mkdir"
"80115ca8","fs_rmdir"
"80115d40","fs_access"
"80115dd8","fs_fstat"
"80115dfc","fs_stat"
"80115ea8","fs_read"
"80115fcc","fs_write"
"801160ec","fs_lseek"
"80116190","fs_readdir"
"8011622c","fs_close"
"80116248","fs_closedir"
"80116264","fs_ioctl"
"80116300","fs_symlink"
"80116324","hash_init"
"80116430","hash_insert"
"801164a8","hash_remove"
"801169b8","qsort"
"80116cdc","get_current_io_context"
"80116d34","find_volume"
"80116d58","get_volume"
"80116dcc","put_volume"
"80116dec","get_file_system"
"8011722c","dec_vnode_ref_count"
"80117328","inc_vnode_ref_count"
"80117570","_put_vnode"
"8011758c","disconnect_volume_or_vnode_fds"
"801177e4","vnode_path_to_vnode"
"80117b90","path_to_vnode"
"80117cfc","fd_and_path_to_dir_vnode"
"80117e3c","fd_and_path_to_vnode"
"80117f28","get_new_fd"
"80117ff8","publish_vnode"
"801185b8","open_vnode"
"80118670","open_dir_vnode"
"8011871c","file_create"
"801187b0","file_open"
"8011881c","file_close"
"80118864","file_free_fd"
"801188b0","file_read"
"80118900","file_write"
"80118950","file_seek"
"80118b64","dir_open"
"80118bc0","dir_close"
"80118c00","dir_free_fd"
"80118c4c","dir_read"
"80118e8c","dir_rewind"
"80118ecc","dir_remove"
"80119040","common_ioctl"
"8011909c","common_sync"
"8011914c","common_create_symlink"
"8011921c","common_access"
"80119294","common_read_stat"
"80119300","common_write_stat"
"80119358","common_path_read_stat"
"801193e8","vfs_mount"
"801196c4","vfs_unmount"
"801199ac","fs_read_statfs"
"80119be0","devfs_vnode_hash"
"80119c4c","devfs_create_vnode"
"8011a56c","devfs_mount"
"8011cb44","new_lock"
"8011cb78","free_lock"
"8011cbc0","atomic_add"
"8011cbd0","snooze"
"8011cbf0","strdup"
"8011cc40","strlcpy"
"8011cca4","strlcat"
"8011cd5c","fclose"
"8011ce74","feof"
"8011cecc","fflush"
"8011cf74","__fflush"
"8011cfc4","__sflush"
"8011d074","sflush_locked"
"8011d0d0","fgets"
"8011d25c","__sfp"
"8011d364","__sinit"
"8011d3e8","fopen"
"8011d4d8","fputc"
"8011d520","fread_std"
"8011d5a4","ali_fread"
"8011d5c8","__fread"
"8011d6f0","ali_fseek"
"8011d710","fseeko"
"8011d7b8","_fseeko"
"8011de28","ali_ftell"
"8011de44","ftello"
"8011decc","_ftello"
"8011e060","_fwalk"
"8011e0f0","fwrite_std"
"8011e1b8","ali_fwrite"
